FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
#
# Feature name:          gcov-profile-all
#         Kconfig:       ARCH_HAS_GCOV_PROFILE_ALL
#         description:   arch supports whole-kernel GCOV code coverage profiling
/* bench 21769.0.0 ba420e2bae60 */
/* bench 21769.0.1 900435ffdac0 */
/* bench 21769.0.2 b0c10473ba33 */
/* bench 21769.0.3 0e8b9520205a */
/* bench 21769.0.4 a2a291d71d3e */
/* bench 21769.0.5 dcdfb1763ddf */
/* bench 21769.0.6 418b363605bf */
/* bench 21769.0.7 581ca164e7a5 */
/* bench 21769.0.8 c56b0b3a8e94 */
/* bench 21769.0.9 70ad85ba6be2 */
/* bench 21769.0.10 9dd35d20fcd0 */
/* bench 21769.0.11 b60d934a30fc */
/* bench 21769.0.12 31bf14554f90 */
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: | TODO |
    |         arc: | TODO |
    |         arm: |  ok  |
    |       arm64: |  ok  |
    |        csky: |  ok  |
    |       h8300: | TODO |
    |     hexagon: | TODO |
    |        ia64: | TODO |
    |        m68k: | TODO |
    |  microblaze: |  ok  |
    |        mips: |  ok  |
    |       nds32: | TODO |
    |       nios2: | TODO |
    |    openrisc: | TODO |
    |      parisc: | TODO |
    |     powerpc: |  ok  |
    |       riscv: |  ok  |
    |        s390: |  ok  |
    |          sh: |  ok  |
    |       sparc: | TODO |
    |          um: | TODO |
    |         x86: |  ok  |
    |      xtensa: | TODO |
    -----------------------
