FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
#
# Feature name:          modern-timekeeping
#         Kconfig:       !ARCH_USES_GETTIMEOFFSET
#         description:   arch does not use arch_gettimeoffset() anymore
#
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: |  ok  |
    |         arc: |  ok  |
    |         arm: | TODO |
    |       arm64: |  ok  |
    |    blackfin: | TODO |
    |         c6x: |  ok  |
    |        cris: | TODO |
    |         frv: |  ok  |
    |       h8300: |  ok  |
    |     hexagon: |  ok  |
    |        ia64: |  ok  |
    |        m32r: | TODO |
    |        m68k: | TODO |
    |       metag: |  ok  |
    |  microblaze: |  ok  |
    |        mips: |  ok  |
    |     mn10300: |  ok  |
    |       nios2: |  ok  |
    |    openrisc: |  ok  |
    |      parisc: |  ok  |
    |     powerpc: |  ok  |
    |        s390: |  ok  |
    |       score: |  ok  |
    |          sh: |  ok  |
    |       sparc: |  ok  |
    |        tile: |  ok  |
    |          um: |  ok  |
    |   unicore32: |  ok  |
    |         x86: |  ok  |
    |      xtensa: |  ok  |
    -----------------------
