FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
#
# Feature name:          THP
#         Kconfig:       HAVE_ARCH_TRANSPARENT_HUGEPAGE
#         description:   arch supports transparent hugepages
#
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: | TODO |
    |         arc: |  ..  |
    |         arm: |  ok  |
    |       arm64: |  ok  |
    |       avr32: |  ..  |
    |    blackfin: |  ..  |
    |         c6x: |  ..  |
    |        cris: |  ..  |
    |         frv: |  ..  |
    |       h8300: |  ..  |
    |     hexagon: |  ..  |
    |        ia64: | TODO |
    |        m32r: |  ..  |
    |        m68k: |  ..  |
    |       metag: | TODO |
    |  microblaze: |  ..  |
    |        mips: |  ok  |
    |     mn10300: |  ..  |
    |       nios2: |  ..  |
    |    openrisc: |  ..  |
    |      parisc: | TODO |
    |     powerpc: |  ok  |
    |        s390: |  ok  |
    |       score: |  ..  |
    |          sh: |  ..  |
    |       sparc: |  ok  |
    |        tile: | TODO |
    |          um: |  ..  |
    |   unicore32: |  ..  |
    |         x86: |  ok  |
    |      xtensa: |  ..  |
    -----------------------
