FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
ASPEED BMC RTC
==============

Required properties:
 - compatible: should be one of the following
   * aspeed,ast2400-rtc for the ast2400
   * aspeed,ast2500-rtc for the ast2500
   * aspeed,ast2600-rtc for the ast2600

/* bench 3054.0.0 7d3f4bf27b0b */
/* bench 3054.0.1 c4317ec7be79 */
/* bench 3054.0.2 077f9874355b */
/* bench 3054.0.3 fe409ec3870c */

 - interrupts: The interrupt number

Example:
/* bench 6302.0.0 f906964d330d */
/* bench 6302.0.1 cb11d289e2c3 */
/* bench 6302.0.2 be92821179d9 */
/* bench 6302.0.3 875ab3aeeb3b */
/* bench 6302.0.4 5df9c9e91a60 */
/* bench 6302.0.5 8e08a3eb4c4b */
/* bench 6302.0.6 45e582a1974f */
/* bench 6302.0.7 0e40f9038bc2 */
/* bench 6302.0.8 fd45bd725c37 */
/* bench 6302.0.9 ade8ae87142d */
/* bench 14120.0.0 0c6a10038159 */
/* bench 14120.0.1 d5425b7c970e */
/* bench 14120.0.2 b0e6b1fce11a */
/* bench 14120.0.3 6e3bed129c82 */
/* bench 14120.0.4 94070d06ac8b */
/* bench 14120.0.5 29e0cbb18840 */
/* bench 14120.0.6 8d10c4814172 */
/* bench 14120.0.7 ca8f2767349f */
/* bench 14120.0.8 a8752a9c2cf3 */
/* bench 14120.0.9 f917da6c3d27 */
/* bench 14120.0.10 8034ea4b8c32 */
/* bench 14120.0.11 9c13848b8f99 */
/* bench 14120.0.12 cc4cc0e3af5a */
/* bench 14120.0.13 b51b05549661 */
   };
