FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
SPI NAND flash

Required properties:
- compatible: should be "spi-nand"
/* bench 12125.0.0 0e632fca7d13 */
/* bench 12125.0.1 fca10a6f0df2 */
/* bench 12125.0.2 1d613b826cab */
/* bench 12125.0.3 62bb1e9c23a7 */
/* bench 12125.0.4 78c7c2329cfa */
/* bench 12125.0.5 beddb6cc6d93 */
/* bench 12125.0.6 03995698fa1e */
/* bench 12125.0.7 40772189aab6 */
/* bench 12125.0.8 52f3675f1aa0 */
/* bench 12125.0.9 0f731c5080f5 */
/* bench 12125.0.10 eae9c2710fad */
