FASTVC-BENCH-CORPUS:linux-main-100k-v1-e0bd41dc-8e12-4f1b-978d-a3645ae59da0
#
# Feature name:          pte_special
#         Kconfig:       ARCH_HAS_PTE_SPECIAL
#         description:   arch supports the pte_special()/pte_mkspecial() VM APIs
#
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: | TODO |
    |         arc: |  ok  |
    |         arm: |  ok  |
    |       arm64: |  ok  |
    |        csky: | TODO |
    |       h8300: | TODO |
    |     hexagon: | TODO |
    |        ia64: | TODO |
    |        m68k: | TODO |
    |  microblaze: | TODO |
    |        mips: |  ok  |
    |       nds32: | TODO |
    |       nios2: | TODO |
    |    openrisc: | TODO |
    |      parisc: | TODO |
    |     powerpc: |  ok  |
    |       riscv: |  ok  |
    |        s390: |  ok  |
    |          sh: |  ok  |
    |       sparc: |  ok  |
    |          um: | TODO |
/* bench 17477.0.0 abbf699cea82 */
/* bench 17477.0.1 1e264d26b250 */
/* bench 17477.0.2 153d028cf490 */
/* bench 17477.0.3 c9e765b0d655 */
/* bench 17477.0.4 693eb40e676d */
/* bench 17477.0.5 970d5f038f22 */
/* bench 17477.0.6 4f4e84036343 */
/* bench 17477.0.7 34b2f4367716 */
/* bench 17477.0.8 3de72fd7659e */
